,name,accuracy,sensitivity,specificity
0,augment-25-30,0.6673333333333333,0.6720000000000002,0.6620000000000001
1,unaugment-10-30,0.6028888888888889,0.5750000000000002,0.6400000000000002
2,unaugment-20-30,0.6704444444444445,0.679,0.6640000000000001
3,unaugment-25-10,0.5680000000000001,0.5519999999999999,0.5850000000000002
4,unaugment-25-20,0.655777777777778,0.6710000000000003,0.6410000000000002
5,unaugment-25-25,0.6400000000000001,0.6510000000000001,0.6290000000000001
6,unaugment-25-30,0.6633333333333334,0.6460000000000001,0.6820000000000002
7,unaugment-25-40,0.671777777777778,0.6920000000000002,0.6580000000000001
8,unaugment-30-30,0.6555555555555559,0.6520000000000001,0.665
9,unaugment-40-30,0.6651111111111112,0.681,0.6510000000000002
10,unaugment-50-30,0.6237777777777778,0.612,0.6360000000000001
11,augment-10-30,0.6311111111111114,0.6080000000000002,0.6570000000000001
12,augment-20-30,0.6588888888888892,0.6550000000000002,0.66
13,augment-25-10,0.5944444444444446,0.596,0.5990000000000001
14,augment-25-20,0.6802222222222227,0.7100000000000003,0.6560000000000001
15,augment-25-25,0.6524444444444447,0.6530000000000001,0.6560000000000002
16,augment-25-30,0.676,0.6830000000000002,0.6720000000000002
17,augment-25-40,0.6386666666666669,0.6150000000000002,0.6640000000000001
18,augment-30-30,0.6513333333333334,0.638,0.669
19,augment-40-30,0.6568888888888891,0.6600000000000001,0.655
20,augment-50-30,0.6566666666666668,0.6640000000000001,0.6510000000000001
21,unaugment-05-30,0.5031111111111111,0.47199999999999986,0.561
22,unaugment-15-30,0.6580000000000001,0.65,0.6700000000000003
23,unaugment-35-30,0.6302222222222224,0.6550000000000001,0.6110000000000002
24,unaugment-45-30,0.6502222222222228,0.6710000000000003,0.637
